,0,1,2
;&#,-0.034055579970627005,0.0017365104424391239,-0.0022017675753688787
";""",-0.03838568194397041,0.003668307590641182,0.00472866318448867
"!!!!!!""@",,,
__BrighterDays,,,
I,-0.004844585032880277,0.0016767734176070764,0.010153225853336865
can,0.0094734599767978,-0.0004998436019942524,0.014019764382968977
not,-0.028014058914411995,0.002808859184605408,0.008969445502092195
sit,0.029059683969082706,-0.0021413565488786397,0.0173019342085386
HATE,,,
on,-0.036742524204892026,0.0033555880114396267,0.013933730597905319
another,0.024325869261939206,-0.0006015040819527174,0.027783779686480513
got,-0.04654338039210324,0.0038273125244368245,-0.009005201592019474
too,-0.07934041270664176,0.003624206421632355,0.03431408405332949
much,-0.022761587655787056,0.0031283060005947265,0.020373872713086424
going,-0.014088168780004694,0.0031133629370254444,0.002278941264920246
